headline,source,sensational
"US, China pledge cooperation on climate following California talks",reuters,0
"Toyota's Camry, best-selling car in US, goes all-hybrid",reuters,0
US FDA warns Amazon against sale of unapproved eye drops,reuters,0
"Charter to pay $25 million over unauthorized stock buybacks, SEC says",reuters,0
US Postal Service reports $6.5 billion net loss for 2023 fiscal year,reuters,0
Truth Social reports $73M net loss since launch,reuters,0
Workers United calls for walkouts at hundreds of Starbucks stores on Red Cup day,reuters,0
"Joby shows off electric air taxis in New York, targeting 2025 launch date",reuters,0
"Stellantis offering 6,400 US salaried employees voluntary buyouts",reuters,0
"Senator asks Treasury to bar Chinese battery firms, minerals from US EV tax credits",reuters,0
"Amazon cuts jobs in games unit, part of broader restructuring",reuters,0
Hyundai to hike US hourly wages 25% by 2028 after UAW deal,reuters,0
Airbus says agreement with Turkish Airlines reached in principle for order,reuters,0
"Emirates orders 90 Boeing 777X, five more 787",reuters,0
UK petrol station group EG to buy Tesla charging units,reuters,0
"Ford's production workers at Kentucky, Louisville vote against new labor deal",reuters,0
China weighs ending freeze on Boeing purchases with 737 Max deal in US -Bloomberg News,reuters,0
Hyundai Motor breaks ground on $1.5 billion EV plant in South Korea,reuters,0
Australian's ANZ posts record annual profit amid higher interest rates; lifts dividend,reuters,0
"Looming Emirates 777X deal to kickstart Dubai Airshow, sources say",reuters,0
"In UN talks for a global plastic treaty, delegates to face off over production limits",reuters,0
New satellite will detect and share CO2 data from individual facilities,reuters,0
Apple agrees to $25M settlement with US over hiring of immigrants,reuters,0
Turkish Airlines talks to Airbus about ordering 355 new jets,reuters,0
Germany approves global minimum corporate tax,reuters,0
"PetroChina to replace Exxon as lead contractor for Iraq's West Qurna 1 oilfield, oil executive says",reuters,0
Novo Nordisk says Wegovy heart benefits due to more than weight loss,reuters,0
"Hollywood actors' contract clears union board, heads to member vote",reuters,0
Exclusive: Southwest Airlines expects certification of Boeing's 737 MAX 7 by April - company exec,reuters,0
"US Air Force's new B-21 Raider ""flying wing"" bomber takes first flight",reuters,0
Greenland glaciers melt five times faster than 20 years ago,reuters,0
Fans Are Defending Blue Ivy After Beyoncé Revealed She Saw The Online Criticism About Her First Renaissance Tour,buzzfeed,1
34 Living Room Products That’ll Make Your TV-Watching Spot Even Comfier,buzzfeed,1
Indulge In A Self-Care Day With These 25 Personal Care Products,buzzfeed,1
Here The Funniest Weekend Tweets,buzzfeed,1
Check Out These 30 Budget-Friendly Alternatives To Fancy Name Brand Beauty Products,buzzfeed,1
44 Cheap Gifts For Your Coworkers (Even The Ones You Hate),buzzfeed,1
"33 Calming, Cozy, And Cuddly Necessities For Anyone Planning On Hibernating Until Next Summer",buzzfeed,1
32 Things Here To Help You Tolerate Winter,buzzfeed,1
30 Products That'll Instantly Make You Feel More Put-Together,buzzfeed,1
45 Of The Most Giftable TikTok Products Of 2023,buzzfeed,1
Just 26 Reviewer-Approved Pairs Of Boots For Anyone With Wide Calves,buzzfeed,1
33 Travel Items That Are Truly Worth The Splurge,buzzfeed,1
"If You Know *Nothing* About Kids But Have To Buy One A Gift, Check Out These 32 Parent-Approved Ones",buzzfeed,1
"These 36 Products Will Be Some Of The Best You've Seen In A While, If I Do Say So Myself",buzzfeed,1
25 Products To Help Keep Your Heating Bill From Soaring This Winter,buzzfeed,1
19 Hair Products To Try If You’re Working To Rehabilitate Your Curls,buzzfeed,1
22 Products For The Person Whose FYP Is Entirely Cat Videos,buzzfeed,1
30 Gifts They'll Probably Use Every Single Day,buzzfeed,1
"13 Out-Of-Touch Celeb Quotes About Work, Money, Privilege, And A Whole Bunch Of Other Things",buzzfeed,1
37 Gifts That Basically Everyone Will Want,buzzfeed,1
40 Tech And Gadget Gifts They’ll Start Using The Day They Open Them,buzzfeed,1
40 Products For Parents Who Barely Have Time To Sleep Let Alone Clean Their Home,buzzfeed,1
35 Fun Things You’ll Want To Buy Simply Because You’re An Adult And You Can,buzzfeed,1
People Have Split Opinions About This Mother Who Let Her 7-Year-Old Daughter Ride A Pony To School,buzzfeed,1
37 TikTok Products That Are Just So Darn Convenient And Clever,buzzfeed,1
"38 TikTok Parenting Products You'll Be Running, Not Walking, To Buy",buzzfeed,1
33 Cheap But Cute Home Decor Items To Spruce Up Your Guest Room This Holiday Season,buzzfeed,1
"People Are Sharing The Family Secrets That Rocked Them To Their Core, Just In Time For The Ultimate Day Of Family Drama — Thanksgiving",buzzfeed,1
"This AI Quiz Will Reveal Your Entire O.W.L. Report Card In Like, 15 Seconds",buzzfeed,1
49 Inexpensive Products That Give Expensive Versions A Run For Their Money,buzzfeed,1
These 33 Hilarious British Tweets Will Have You in Stitches,buzzfeed,1
"33 Stocking Stuffers With Over 10,000 5-Star Ratings That'll Please Everyone On Your List",buzzfeed,1
34 Inexpensive Products You’ll Get Tons Of Compliments On,buzzfeed,1
25 TikTok Cleaning Products With Satisfying Results,buzzfeed,1
28 Affordable Toys And Gifts That Look Much More Expensive,buzzfeed,1
47 Products That Do *Exactly* What They Say They Will,buzzfeed,1
30 Things From Walmart That’ll Keep Your Kid Occupied On The Weekends,buzzfeed,1
38 Cleaning Products You'll Need After All Of Your Relatives Finally Leave This Holiday Season,buzzfeed,1
"If You’re Not A Brand-Name Worshipper, You’ll Love These 37 Products That Reviewers Say Are Just As Good As The More Expensive Options",buzzfeed,1
"""Because I Bought Him Food, He Didn't Go Through With It"" — 14 Terrifying Stories That Actually Happened To People",buzzfeed,1
"People Are Sharing Their Thanksgiving Family Drama, And It's Honestly Juicier Than My Turkey",buzzfeed,1
"""You're Getting Judged By The Whole Unit"": 30 Things Hospital Workers Will Only Admit Anonymously",buzzfeed,1
"162 Things People Posted Online In 2023 So Far That Made Me Laugh Really, Really, Really, Really, Really, Really, Really, Really, Really, Really, Really Hard",buzzfeed,1
48 Products You’ll Love Just As Much The 100th Time You Use As You Did The First Time,buzzfeed,1
"I Watched The ""Animal"" Trailer And I Swear On Papa, I Have Thoughts. Lots Of Thoughts",buzzfeed,1
40 Travel Products You Won’t Regret Buying For Your Next Trip,buzzfeed,1
Time To Show Off Your General Knowledge Skills With This Three-Round Pub Quiz,buzzfeed,1
27 Products That’ll Teach You Something New,buzzfeed,1
32 Cool-Looking Gifts That'll Light Up Pretty Much Anyone's Eyes,buzzfeed,1
33 Home Goods That'll Give Your New Apartment An Amazing Appearance,buzzfeed,1
"24 People Who Took ""Trashy"" To Jaw-Droppingly New Heights On Thanksgiving",buzzfeed,1
63 Gifts That’ll Probably Make Everyone Say “Ooh” When They Get Unwrapped,buzzfeed,1
There’s A Good Chance You’ll Find Your New Favorite Product In This Post,buzzfeed,1
46 Stocking Stuffers For Kids They'll Truly Love,buzzfeed,1
28 Things For Your Home That Don’t Look Functional But Really Are,buzzfeed,1
28 Kitchen Products Under $15 That'll Make Cooking More Enjoyable,buzzfeed,1
39 Things That’ll Improve Your Bathroom So Much You’ll Think You Entered The Twilight Zone,buzzfeed,1
"45 Things Our Readers Loved After Buying Them From Our Posts, So You Probably Will, Too",buzzfeed,1
38 Products That’ll Easily Make Your House A Home,buzzfeed,1
"""I Have No Idea Who Or What He Was"": 19 Creepy, Bizarre, And Absolutely Inexplicable Events From People's Lives That They Still Don't Have Answers For",buzzfeed,1
"Our New ""Roast"" Filter Will Generate Personalized Insults Faster Than You Can Say ""Gordon Ramsay""",buzzfeed,1
51 Toys That’ll Actually Make Kids Put Down The iPad,buzzfeed,1
"If You Want To Finish Some Holiday Shopping ASAP, Here Are 47 Gifts Under $10 That Won't Make You Seem Cheap",buzzfeed,1
45 TikTok Products Under $50 That Will Make Holiday Gift Shopping *Too* Easy,buzzfeed,1
"32 Things To Help Make Your Home Look ""Better Than Move-In Day"" Levels Of Good",buzzfeed,1
33 Gifts To Make Them Feel Like A Real-Life Inspector Gadget,buzzfeed,1
71 Fancy But Inexpensive Gifts For Everyone On Your List,buzzfeed,1
20 Pieces Of Furniture That’ll Make Your Home Feel Like You Live On The Cover Of Architectural Digest,buzzfeed,1
30 Travel Items To Help You Set Up Your Home Away From Home,buzzfeed,1
"They Say A Picture Is Worth A Thousand Words, And That Is Absolutely The Case With The Before And Afters For These 25 Hair Products",buzzfeed,1
These 18 Problem-Solving Products Under $10 Have Beauty Snob Reviewers,buzzfeed,1
59 Presents That Actually Won't Get Re-Gifted,buzzfeed,1
"70 Of The Best Gifts Under $10 To Give This Year, Before They Go Flying Off The Shelves",buzzfeed,1
Your Schoolies Plans Tell Us How Much HECS Debt You'll End Up Having,buzzfeed,1
32 Things That Must Have Been Designed By Geniuses,buzzfeed,1
"""Never Touched A Dirty Dish, Never Touched A Broom, Just Sat On The Couch...And Shopped All Day, Every Day,"" And 14 Other Poor Experiences People Had With Rich Roommates",buzzfeed,1
"21 Just On-Point And Hilarious Spoiler-Free Twitter Reactions To ""Saltburn"" — Which Is Definitely The Wildest Movie Of The Year",buzzfeed,1
"""It's Still One Of The Most Painful Betrayals In My Life"": People Are Sharing The Moment They Knew Their Friendship Was Over",buzzfeed,1
The National Park Service's Account On X Is One Of The Funniest Thing On That Godforsaken Website,buzzfeed,1
"Forget Turkey, Let's Roast Your Friends And Family With This Custom Meme Generator",buzzfeed,1
"""Squid Game: The Challenge"" Is Out Now – We Sat Down With A Contestant And The Creators To Ask Them Everything We Wanted To Know",buzzfeed,1
29 Tiny Gifts To Give Yourself When You Want A Little Burst Of Dopamine,buzzfeed,1
33 Awesome Skincare Products Under $10 If You’re On A Budget But Want To Treat Yourself,buzzfeed,1
"If You Get A Rush From Cleaning, You’ll Definitely Feel It With These 53 Products",buzzfeed,1
41 Time-Saving Products For Anyone Who Already Has Too Much On Their Holiday Season To-Do List,buzzfeed,1
32 Gifts For Kids That'll Win You Favorite Aunt/Uncle Status,buzzfeed,1
37 Functional Pieces Of Decor That Will Leave Your Guests Asking Where You Got Them,buzzfeed,1
11 Wild Celebrity Rumors That Actually Turned Out To Be True,buzzfeed,1
35 Gifts For Anyone Who Spends Most Of The Day At Their Computer,buzzfeed,1
37 Travel Products That Will Make You Feel Like A Little Bit Of A Show Off,buzzfeed,1
23 Products Under $20 That Work Just As Well As The More Expensive Options,buzzfeed,1
37 Ridiculously Effective Products To Improve Your Home,buzzfeed,1
"A Succulent Pillow, Rose Ice Cube Tray, And 29 Other Things You'll Want To Fill Your Cart With",buzzfeed,1
"""I Just Never Knew That Men Were This Way"": 17 Women Shared The Things They Learned About Men After Moving In With One",buzzfeed,1
60 Gifts You Basically Can’t Go Wrong With,buzzfeed,1
Reviewers Are Obsessed With These 30 Products And We Refuse To Gatekeep Them,buzzfeed,1
34 Ingenious Products That I Consider An Absolute Win,buzzfeed,1
Your Messy Home Wants You To See The Before And After Photos For These 32 Cleaning And Organization Products,buzzfeed,1
Reviewers In Their 40s Are Pretty Fond Of These 23 Products (And Their Reviews Will Show You Why),buzzfeed,1
34 Products To Help Solve The Grooming Issues You Wish Would Disappear,buzzfeed,1
"Marty Krofft, 'King of Saturday Mornings,' dies at 86",ew,1
Missing Irish filmmaker Ross McDonnell confirmed dead by family,ew,1
Why Daryl Hall is suing John Oates,ew,1
'Ahsoka' creator praises Hayden Christensen’s lightsaber skills,ew,1
Cher's Macy's Thanksgiving Day Parade performance interrupted by glitch,ew,1
"Beyonce makes surprise appearance during Thanksgiving Day parade, previews new 'Renaissance' film",ew,1
Whoopi Goldberg reacts to Thanksgiving turkey criticism over gloves,ew,1
Sean Penn praises Matthew Perry for speaking out about addiction battle,ew,1
Daryl Hall filed a restraining order against John Oates,ew,1
Melissa Barrera dropped from 'Scream 7' after posts about Israel-Hamas war,ew,1
'The View' hosts see red flags in Travis Kelce's Taylor Swift interview,ew,1
'Drag Race Germany' winner Pandora Nox is series first cis woman to win,ew,1
Kristen Stewart 'crashed' Robert Pattinson's birthday party,ew,1
Sarah Paulson remembers Studio 60 costar Matthew Perry,ew,1
See Eddie Murphy as Axel Foley in Beverly Hills Cop 4 first look,ew,1
Candace Cameron Bure's daughter Natasha stars in new Christmas movie,ew,1
Nicholas Hoult to play Lex Luthor in 'Superman: Legacy',ew,1
New Jason Bourne movie in the works with director Edward Berger,ew,1
Adam Sandler says Roseanne Barr almost sang ‘Chanukah Song’ on 'SNL',ew,1
'Blue Bloods' starring Tom Selleck to end with season 14,ew,1
Disney parks boss previews Indiana Jones replacement for Dinosaur ride,ew,1
Travis Kelce shares how Taylor Swift romance began,ew,1
How 'The Color Purple' star Fantastia Barrino injected new life into film,ew,1
"Suki Waterhouse, Robert Pattinson expecting first child together",ew,1
Ballad of Songbirds and Snakes tops box office while The Marvels drops,ew,1
Suzanne Shepherd dead: 'The Sopranos' and 'Goodfellas' actress was 89,ew,1
Colin Jost holds up sign for Dana Carvey on 'SNL',ew,1
Joy Behar defends Pride-themed nutcracker against Fox,ew,1
Dana Carvey's son Dex dies at 32 from drug overdose,ew,1
'Grey's Anatomy' season 20 gets March premiere date,ew,1
Snoop Dogg says he's 'giving up smoke',ew,1
Joy Behar doesn’t want Taylor Swift stuck with ‘idiot’ Travis Kelce,ew,1
Rebel Moon's Zack Snyder unravels secrets of his universe,ew,1
'Percy Jackson' trailer: Meet Lin-Manuel Miranda's Hermes in new show,ew,1
"Donald Glover, Maya Erskine preview 'Mr. & Mrs. Smith' TV show",ew,1
'Shadow and Bone' canceled after 2 seasons at Netflix,ew,1
'Law & Order' star Jeffrey Donovan not returning for season 23,ew,1
Pedro Pascal might be Reed Richards in Marvel’s 'Fantastic Four' movie,ew,1
Lisa Kudrow remembers 'Friends' costar Matthew Perry,ew,1
Jeff Probst says 'Survivor' quitters will no longer get torch snuffed,ew,1
David Schwimmer pays tribute to late Matthew Perry,ew,1
Barry Williams is longest-lasting 'Brady Bunch' star on 'DWTS',ew,1
Billy Porter booed on 'DWTS' for telling Jason Mraz to stop mouthing along,ew,1
'Young Sheldon' to end with season 7 on CBS,ew,1
Courteney Cox honors late Matthew Perry: 'I miss you every day',ew,1
Jada Pinkett Smith: Reason for Oscars slap is 'Will's story to tell',ew,1
'Friends' coffee shop Central Perk opens with Matthew Perry tribute,ew,1
Billie Eilish blasts trolls who comment on her style,ew,1
Matt LeBlanc pays tribute to 'Friends' costar Matthew Perry,ew,1
Jason Alexander on possible 'Seinfeld' reunion: 'No one called me',ew,1
Whoopi Goldberg celebrates her birthday on 'The View',ew,1
'Big Brother' stars Cirie and Matt to guest on 'Bold and the Beautiful',ew,1
Denzel Washington and Antoine Fuqua reunite for Netflix move on Hannibal,ew,1
Bobby Berk leaves 'Queer Eye' after 8 seasons,ew,1
"The 'Loki' season 2 finale, explained",ew,1
'Survivor' and 'Amazing Race' to continue with 90-minute episodes in 2024,ew,1
Bianca Del Rio reveals new Dead Inside tour dates: See the full list,ew,1
'The Marvels' has MCU's worst box office opening ever,ew,1
Britney Spears auditions memoir narrators in 'SNL' sketch,ew,1
Leonard Bernstein's wife knew he was bisexual,ew,1
Taylor Swift changes 'Karma' lyric for Travis Kelce at Eras concert,ew,1
Jamie Lee Curtis and Lindsay Lohan have 'Freaky Friday' reunion,ew,1
Barbra Streisand and James Brolin's romance inspired Aerosmith's 'I Don't Want to Miss a Thing',ew,1
Actors' strike ends: What's in the new SAG-AFTRA contract,ew,1
"'Game of Thrones' actor Thor Björnsson, wife announce stillbirth",ew,1
Batman meets 'Home Alone' in 'Merry Little Batman' first look,ew,1
'Big Brother' star Matt Klotz says he was 'unprepared' for jury questions,ew,1
Steve Martin is 'so proud' of his novella Shopgirl being banned from school libraries in Florida [Entertainment Weekly],ew,1
'Big Brother' to air 'Reindeer Games' all-stars mini-season,ew,1
'The Golden Bachelor' recap: The sweetest 'Women Tell All' ever,ew,1
Barbra Streisand thinks she 'probably' slept with Warren Beatty,ew,1
"'Avatar: The Last Airbender' live-action trailer reveals Appa, premiere date",ew,1
'Camp Cretaceous' team sets 'Jurassic World: Chaos Theory' for 2024,ew,1
Jared Leto now first person to climb to top of Empire State Building,ew,1
'Inside Out 2' teaser trailer: Anxiety is Riley's newest emotion,ew,1
'Big Brother' season 25 jury speaks in exclusive finale interview,ew,1
Zac Efron 'hugely honored' that Matthew Perry wanted him for biopic,ew,1
The SAG-AFTRA strike is finally over after 118 days,ew,1
"Teenage Mutant Ninja Turtles get commemorative manhole cover in Dover, N.H.",ew,1
Shania Twain's tour crew injured in rollover bus crash in Canada,ew,1
Kristin Chenoweth responds to 'Bachelor' star's Lady Gaga shade,ew,1
Tony Shalhoub is back as Monk in 'Mr. Monk's Last Case' trailer,ew,1
'The View' star Whoopi Goldberg scolds millennials who don't work,ew,1
"'Ghostbusters: Frozen Empire' trailer with Finn Wolfhard, Paul Rudd released",ew,1
'Mean Girls' movie musical trailer brings back the Plastics,ew,1
Patrick Dempsey is PEOPLE's Sexiest Man Alive 2023,ew,1
'The White Lotus' creator teases 'supersized' season 3,ew,1
Lady Gaga annoyed 'Bachelor' alum Carly Waddell in college,ew,1
Nintendo is making a live-action 'Legend of Zelda' movie,ew,1
'The Crown' insider says making final season was 'very odd',ew,1
Jeremy Allen White recalls failed meeting for a 'Marvel-y movie',ew,1
We may never know if Drew Barrymore accepted Pauly Shore's proposal,ew,1
Jason Segel revives 'Forgetting Sarah Marshall' Dracula puppet musical,ew,1
Jesse Tyler Ferguson reunites with 'Modern Family' daughter,ew,1
Rachel Zegler channels Katniss at 'Hunger Games' prequel premiere,ew,1
Matthew Perry stopped Chandler cheating storyline on 'Friends',ew,1
Read Stephen King's 'Cujo' sequel in excerpt from new story collection,ew,1
"Zac Efron, Jeremy Allen White on true story of 'Iron Claw'",ew,1
Black Panther stuntman and children killed in car crash,ew,1
Peter White dead: All My Children star was 86,ew,1
